title,top genre,year released,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year
Sing,pop,2014.0,120.0,67.0,82.0,-4.0,6.0,94.0,235.0,30.0,5.0,75.0,2014.0
Ugly Heart,dance pop,2014.0,125.0,79.0,65.0,-5.0,32.0,45.0,198.0,2.0,5.0,70.0,2014.0
Budapest,folk-pop,2014.0,128.0,46.0,72.0,-8.0,11.0,39.0,201.0,8.0,3.0,83.0,2014.0
Blame It on Me,folk-pop,2014.0,104.0,76.0,54.0,-3.0,34.0,42.0,196.0,47.0,3.0,73.0,2014.0
Ready For Your Love,deep groove house,2014.0,122.0,75.0,68.0,-7.0,33.0,47.0,199.0,5.0,15.0,51.0,2014.0
Fancy,australian hip hop,2014.0,95.0,72.0,91.0,-4.0,5.0,38.0,200.0,9.0,7.0,74.0,2014.0
Black Widow,australian hip hop,2014.0,164.0,72.0,74.0,-4.0,11.0,52.0,209.0,19.0,12.0,71.0,2014.0
Wiggle (feat. Snoop Dogg),dance pop,2013.0,82.0,62.0,70.0,-7.0,16.0,72.0,193.0,8.0,25.0,63.0,2014.0
Trumpets,dance pop,2013.0,82.0,69.0,64.0,-5.0,10.0,64.0,217.0,56.0,26.0,69.0,2014.0
Don't Tell 'Em,chicago rap,2015.0,98.0,53.0,86.0,-5.0,11.0,39.0,267.0,39.0,10.0,80.0,2014.0
Bang Bang,dance pop,2014.0,150.0,79.0,71.0,-3.0,38.0,75.0,199.0,26.0,9.0,83.0,2014.0
All of Me,neo soul,2013.0,120.0,26.0,42.0,-7.0,13.0,33.0,270.0,92.0,3.0,90.0,2014.0
Not a Bad Thing,dance pop,2013.0,86.0,56.0,31.0,-9.0,13.0,11.0,688.0,53.0,7.0,61.0,2014.0
Dark Horse,dance pop,2013.0,132.0,59.0,65.0,-6.0,17.0,35.0,216.0,0.0,5.0,79.0,2014.0
Show Me (feat. Chris Brown),dance pop,2014.0,98.0,51.0,71.0,-7.0,14.0,66.0,218.0,4.0,5.0,74.0,2014.0
Hideaway,electropop,2014.0,123.0,72.0,84.0,-4.0,8.0,20.0,252.0,9.0,5.0,70.0,2014.0
Jubel - Radio Edit,deep house,2013.0,125.0,52.0,69.0,-7.0,14.0,10.0,202.0,65.0,3.0,55.0,2014.0
Jealous,indie poptimism,2014.0,117.0,15.0,44.0,-9.0,11.0,10.0,288.0,87.0,5.0,82.0,2014.0
Prayer in C - Robin Schulz Radio Edit,french indie pop,2014.0,123.0,88.0,76.0,-6.0,60.0,80.0,189.0,2.0,3.0,77.0,2014.0
Rude,reggae fusion,2014.0,144.0,76.0,77.0,-5.0,31.0,93.0,225.0,4.0,4.0,85.0,2014.0
Maps,pop,2014.0,120.0,71.0,74.0,-6.0,6.0,88.0,190.0,2.0,3.0,87.0,2014.0
Animals,pop,2014.0,190.0,74.0,28.0,-6.0,59.0,33.0,231.0,0.0,9.0,85.0,2014.0
Sugar,pop,2014.0,120.0,79.0,75.0,-7.0,9.0,88.0,235.0,6.0,3.0,85.0,2014.0
All About That Bass,dance pop,2015.0,134.0,89.0,81.0,-4.0,12.0,96.0,188.0,6.0,5.0,78.0,2014.0
Stolen Dance,german pop,2014.0,114.0,58.0,89.0,-9.0,8.0,73.0,314.0,43.0,4.0,78.0,2014.0
Classic,dance pop,2012.0,102.0,79.0,72.0,-5.0,16.0,76.0,175.0,4.0,12.0,87.0,2014.0
Waves - Robin Schulz Radio Edit,dutch hip hop,2014.0,120.0,51.0,83.0,-9.0,8.0,45.0,208.0,1.0,4.0,82.0,2014.0
Somebody,chicago rap,2014.0,105.0,52.0,83.0,-9.0,7.0,74.0,190.0,0.0,4.0,71.0,2014.0
Jealous - Remix,dance pop,2015.0,93.0,71.0,68.0,-4.0,44.0,45.0,222.0,1.0,8.0,71.0,2014.0
Anaconda,dance pop,2014.0,130.0,61.0,96.0,-6.0,21.0,65.0,260.0,7.0,18.0,70.0,2014.0
Am I Wrong,pop rap,2014.0,120.0,68.0,73.0,-6.0,55.0,78.0,246.0,18.0,3.0,82.0,2014.0
CoCo,pop rap,2014.0,120.0,63.0,89.0,-6.0,31.0,18.0,240.0,0.0,13.0,66.0,2014.0
Gecko (Overdrive) - Radio Edit,dance pop,2014.0,125.0,89.0,61.0,-5.0,34.0,76.0,165.0,1.0,6.0,73.0,2014.0
Wrapped Up,dance pop,2014.0,122.0,84.0,79.0,-5.0,16.0,92.0,186.0,9.0,6.0,68.0,2014.0
Post to Be (feat. Chris Brown & Jhene Aiko),dance pop,2014.0,97.0,68.0,73.0,-6.0,21.0,70.0,227.0,7.0,4.0,60.0,2014.0
Night Changes,boy band,2014.0,120.0,52.0,67.0,-8.0,12.0,37.0,227.0,86.0,4.0,88.0,2014.0
Steal My Girl,boy band,2014.0,77.0,77.0,54.0,-6.0,11.0,55.0,228.0,0.0,3.0,84.0,2014.0
Counting Stars,dance pop,2014.0,122.0,71.0,66.0,-5.0,12.0,48.0,258.0,7.0,4.0,80.0,2014.0
Love Runs Out,dance pop,2014.0,120.0,94.0,72.0,-4.0,10.0,74.0,224.0,17.0,6.0,65.0,2014.0
Only Love Can Hurt Like This,british soul,2014.0,91.0,89.0,57.0,-5.0,33.0,30.0,233.0,10.0,8.0,85.0,2014.0
High (feat. Nicole Millar),aussietronica,2014.0,100.0,80.0,53.0,-4.0,29.0,38.0,228.0,0.0,5.0,54.0,2014.0
"Happy - From ""Despicable Me 2""",pop rap,2014.0,160.0,82.0,65.0,-5.0,9.0,96.0,233.0,22.0,18.0,85.0,2014.0
Timber (feat. Ke$ha),dance pop,2012.0,130.0,96.0,58.0,-4.0,14.0,79.0,204.0,3.0,10.0,86.0,2014.0
Me And My Broken Heart,pop,2014.0,174.0,78.0,55.0,-4.0,13.0,55.0,194.0,0.0,3.0,83.0,2014.0
My Love (feat. Jess Glynne),deep groove house,2014.0,120.0,62.0,81.0,-8.0,7.0,73.0,260.0,0.0,5.0,78.0,2014.0
Stay With Me,dance pop,2014.0,84.0,42.0,42.0,-6.0,11.0,18.0,173.0,59.0,4.0,86.0,2014.0
Money On My Mind,dance pop,2014.0,134.0,84.0,69.0,-5.0,23.0,74.0,193.0,20.0,18.0,67.0,2014.0
Collard Greens,gangster rap,2014.0,154.0,57.0,83.0,-5.0,21.0,65.0,300.0,3.0,6.0,84.0,2014.0
Man Of The Year,gangster rap,2014.0,112.0,87.0,75.0,-5.0,20.0,37.0,216.0,1.0,4.0,76.0,2014.0
Geronimo,australian indie,2015.0,142.0,78.0,71.0,-6.0,12.0,46.0,218.0,46.0,8.0,69.0,2014.0
Chandelier,australian dance,2015.0,117.0,79.0,40.0,-3.0,7.0,57.0,216.0,2.0,5.0,73.0,2014.0
Elastic Heart,australian dance,2015.0,130.0,79.0,42.0,-5.0,15.0,50.0,257.0,1.0,5.0,68.0,2014.0
Nobody To Love,dance pop,2014.0,88.0,91.0,52.0,-3.0,20.0,23.0,190.0,0.0,4.0,55.0,2014.0
Style,pop,2014.0,95.0,79.0,59.0,-6.0,12.0,49.0,231.0,0.0,4.0,66.0,2014.0
Bad Blood,pop,2014.0,170.0,79.0,65.0,-6.0,20.0,29.0,212.0,9.0,19.0,60.0,2014.0
Shake It Off,pop,2014.0,160.0,79.0,65.0,-5.0,15.0,94.0,219.0,6.0,17.0,77.0,2014.0
#SELFIE,dance pop,2014.0,128.0,92.0,79.0,-3.0,8.0,66.0,184.0,1.0,25.0,69.0,2014.0
Superheroes,celtic rock,2014.0,167.0,89.0,49.0,-4.0,7.0,64.0,245.0,0.0,4.0,79.0,2014.0
Wasted,big room,2014.0,112.0,82.0,64.0,-6.0,20.0,39.0,190.0,0.0,3.0,68.0,2014.0
Red Lights,big room,2014.0,125.0,83.0,65.0,-5.0,12.0,55.0,262.0,0.0,4.0,72.0,2014.0
2 On (feat. ScHoolboy Q),alternative r&b,2014.0,101.0,60.0,74.0,-8.0,11.0,43.0,227.0,15.0,11.0,77.0,2014.0
Habits (Stay High),art pop,2014.0,110.0,65.0,73.0,-4.0,8.0,35.0,209.0,7.0,3.0,78.0,2014.0
Talking Body,art pop,2014.0,120.0,76.0,74.0,-5.0,8.0,11.0,238.0,10.0,3.0,72.0,2014.0
Na Na,dance pop,2015.0,97.0,48.0,67.0,-6.0,10.0,24.0,232.0,33.0,4.0,68.0,2014.0
Riptide,folk-pop,2014.0,102.0,73.0,48.0,-7.0,15.0,51.0,204.0,43.0,4.0,83.0,2014.0
Stay The Night - Featuring Hayley Williams Of Paramore,complextro,2012.0,128.0,74.0,60.0,-3.0,9.0,46.0,217.0,11.0,4.0,69.0,2014.0
Ghost Town,dance pop,2015.0,120.0,74.0,70.0,-6.0,17.0,27.0,208.0,19.0,5.0,69.0,2015.0
Here,canadian contemporary r&b,2015.0,120.0,82.0,38.0,-4.0,8.0,33.0,199.0,8.0,10.0,71.0,2015.0
"Honey, I'm Good.",dance pop,2014.0,122.0,78.0,75.0,-7.0,35.0,60.0,199.0,3.0,5.0,78.0,2015.0
The Nights,dance pop,2014.0,126.0,84.0,53.0,-5.0,25.0,65.0,177.0,2.0,4.0,89.0,2015.0
Waiting For Love,dance pop,2015.0,128.0,74.0,58.0,-4.0,20.0,61.0,231.0,31.0,5.0,84.0,2015.0
  7/11,dance pop,2014.0,136.0,71.0,75.0,-5.0,13.0,56.0,214.0,1.0,13.0,74.0,2015.0
I Don't Fuck With You,detroit hip hop,2015.0,98.0,73.0,82.0,-5.0,33.0,40.0,284.0,4.0,6.0,80.0,2015.0
Electric Love,modern rock,2015.0,120.0,80.0,61.0,-8.0,26.0,52.0,218.0,1.0,5.0,86.0,2015.0
Outside (feat. Ellie Goulding),dance pop,2014.0,128.0,82.0,65.0,-4.0,32.0,42.0,227.0,21.0,4.0,82.0,2015.0
How Deep Is Your Love,dance pop,2015.0,122.0,87.0,74.0,-4.0,39.0,34.0,213.0,4.0,7.0,80.0,2015.0
Ayo,dance pop,2015.0,98.0,56.0,82.0,-5.0,9.0,68.0,225.0,4.0,4.0,76.0,2015.0
Cool for the Summer,dance pop,2015.0,114.0,61.0,58.0,-6.0,14.0,34.0,215.0,0.0,4.0,78.0,2015.0
Confident,dance pop,2015.0,130.0,75.0,59.0,-6.0,9.0,34.0,206.0,0.0,7.0,69.0,2015.0
Five More Hours,dance pop,2017.0,128.0,88.0,70.0,-3.0,82.0,50.0,212.0,3.0,22.0,74.0,2015.0
Omen - Radio Edit,edm,2015.0,106.0,79.0,67.0,-5.0,36.0,62.0,197.0,12.0,14.0,68.0,2015.0
Hotline Bling,canadian hip hop,2016.0,135.0,63.0,89.0,-8.0,5.0,55.0,267.0,0.0,6.0,82.0,2015.0
Jumpman,canadian hip hop,2015.0,142.0,55.0,85.0,-7.0,33.0,66.0,206.0,6.0,19.0,76.0,2015.0
Thinking out Loud,pop,2014.0,79.0,45.0,78.0,-6.0,18.0,59.0,282.0,47.0,3.0,86.0,2015.0
"Love Me Like You Do - From ""Fifty Shades Of Grey""",dance pop,2015.0,190.0,61.0,26.0,-7.0,13.0,28.0,253.0,25.0,5.0,83.0,2015.0
On My Mind,dance pop,2015.0,155.0,71.0,70.0,-7.0,9.0,74.0,213.0,26.0,5.0,69.0,2015.0
Centuries,emo,2015.0,176.0,86.0,39.0,-3.0,10.0,56.0,228.0,0.0,7.0,84.0,2015.0
679 (feat. Remy Boyz),new jersey rap,2015.0,190.0,72.0,62.0,-6.0,63.0,60.0,197.0,0.0,32.0,79.0,2015.0
Trap Queen,new jersey rap,2015.0,148.0,87.0,75.0,-4.0,35.0,82.0,222.0,2.0,13.0,78.0,2015.0
My Way (feat. Monty),new jersey rap,2015.0,128.0,74.0,75.0,-3.0,15.0,54.0,213.0,0.0,5.0,71.0,2015.0
My House,dance pop,2015.0,94.0,70.0,69.0,-5.0,13.0,74.0,192.0,2.0,5.0,81.0,2015.0
GDFR (feat. Sage the Gemini & Lookas),dance pop,2015.0,146.0,83.0,66.0,-4.0,7.0,69.0,190.0,0.0,7.0,75.0,2015.0
Mountain at My Gates,indie rock,2015.0,104.0,93.0,50.0,-5.0,25.0,62.0,244.0,0.0,5.0,69.0,2015.0
Runaway (U & I),dance pop,2015.0,126.0,81.0,51.0,-4.0,9.0,38.0,227.0,1.0,5.0,79.0,2015.0
Barcelona,folk-pop,2014.0,94.0,57.0,63.0,-9.0,11.0,18.0,189.0,32.0,3.0,70.0,2015.0
Love Myself,dance pop,2016.0,123.0,76.0,62.0,-7.0,42.0,32.0,219.0,0.0,7.0,75.0,2015.0
Take Me to Church,irish singer-songwriter,2014.0,129.0,66.0,57.0,-5.0,12.0,44.0,242.0,63.0,5.0,80.0,2015.0
Where Are Ü Now (with Justin Bieber),edm,2015.0,139.0,78.0,43.0,-4.0,8.0,20.0,250.0,4.0,6.0,78.0,2015.0
oui,chicago rap,2015.0,79.0,72.0,42.0,-4.0,11.0,60.0,238.0,21.0,10.0,82.0,2015.0
Classic Man (feat. Roman GianArthur),ghanaian hip hop,2015.0,94.0,59.0,79.0,-6.0,29.0,59.0,226.0,19.0,3.0,63.0,2015.0
What Do You Mean?,canadian pop,2015.0,125.0,57.0,85.0,-8.0,8.0,79.0,206.0,59.0,10.0,81.0,2015.0
Way down We Go,icelandic indie,2016.0,163.0,51.0,49.0,-8.0,10.0,34.0,214.0,58.0,12.0,81.0,2015.0
King Kunta,conscious hip hop,2015.0,107.0,66.0,88.0,-5.0,15.0,49.0,235.0,1.0,10.0,79.0,2015.0
Stole the Show,edm,2016.0,100.0,64.0,64.0,-8.0,32.0,48.0,223.0,27.0,23.0,78.0,2015.0
Nothing Left (feat. Will Heard),edm,2015.0,154.0,58.0,68.0,-7.0,37.0,35.0,237.0,26.0,4.0,59.0,2015.0
High By The Beach,art pop,2015.0,132.0,49.0,54.0,-11.0,12.0,10.0,258.0,24.0,3.0,71.0,2015.0
Hurt Me,electropop,2016.0,138.0,73.0,66.0,-5.0,16.0,59.0,231.0,69.0,13.0,55.0,2015.0
Closer,alternative dance,2017.0,92.0,79.0,58.0,-4.0,12.0,36.0,271.0,0.0,3.0,64.0,2015.0
Lot to Learn,indie pop rap,2015.0,82.0,85.0,41.0,-4.0,7.0,60.0,248.0,9.0,20.0,66.0,2015.0
Lean On,dance pop,2015.0,98.0,81.0,72.0,-3.0,56.0,27.0,177.0,0.0,6.0,76.0,2015.0
Light It Up - Remix,dance pop,2015.0,108.0,88.0,75.0,-4.0,23.0,75.0,166.0,4.0,7.0,71.0,2015.0
Uptown Funk (feat. Bruno Mars),dance pop,2015.0,115.0,61.0,86.0,-7.0,3.0,93.0,270.0,1.0,8.0,86.0,2015.0
Intoxicated - Radio Edit,dance pop,2015.0,125.0,69.0,79.0,-4.0,10.0,50.0,160.0,0.0,4.0,62.0,2015.0
All Eyes on You (feat. Chris Brown & Nicki Minaj),hip hop,2015.0,78.0,66.0,59.0,-5.0,12.0,25.0,224.0,2.0,20.0,73.0,2015.0
Believe,modern folk rock,2015.0,114.0,62.0,36.0,-7.0,22.0,42.0,221.0,3.0,4.0,61.0,2015.0
That's How You Know (feat. Kid Ink & Bebe Rexha),pop rap,2015.0,104.0,44.0,77.0,-6.0,12.0,74.0,186.0,44.0,4.0,62.0,2015.0
Drive,electropop,2015.0,142.0,46.0,66.0,-8.0,8.0,38.0,196.0,71.0,10.0,65.0,2015.0
Drag Me Down,boy band,2015.0,138.0,70.0,73.0,-6.0,7.0,60.0,192.0,11.0,4.0,84.0,2015.0
Perfect,boy band,2015.0,100.0,82.0,65.0,-5.0,12.0,40.0,230.0,6.0,8.0,81.0,2015.0
Sunset Lover,new french touch,2015.0,91.0,47.0,78.0,-9.0,11.0,24.0,238.0,73.0,5.0,75.0,2015.0
Wish You Were Mine - Radio Edit,deep groove house,2014.0,123.0,83.0,65.0,-4.0,10.0,41.0,178.0,1.0,3.0,70.0,2015.0
Time of Our Lives,dance pop,2014.0,124.0,80.0,72.0,-6.0,69.0,72.0,229.0,9.0,6.0,85.0,2015.0
No Type,hip hop,2015.0,125.0,49.0,89.0,-8.0,9.0,24.0,200.0,2.0,16.0,77.0,2015.0
"Flex (Ooh, Ooh, Ooh)",atl hip hop,2015.0,82.0,61.0,73.0,-8.0,19.0,89.0,177.0,4.0,5.0,70.0,2015.0
FourFiveSeconds,barbadian pop,2015.0,206.0,27.0,58.0,-6.0,13.0,35.0,188.0,88.0,5.0,82.0,2015.0
Bitch Better Have My Money,barbadian pop,2015.0,103.0,73.0,78.0,-5.0,26.0,40.0,219.0,5.0,6.0,78.0,2015.0
Chill Bill (feat. J. Davi$ & Spooks),san diego rap,2016.0,108.0,43.0,89.0,-10.0,9.0,23.0,177.0,3.0,14.0,81.0,2015.0
Sugar (feat. Francesco Yates),dance pop,2015.0,123.0,82.0,64.0,-5.0,16.0,64.0,219.0,2.0,6.0,81.0,2015.0
Lay It All on Me (feat. Ed Sheeran),dance pop,2015.0,123.0,75.0,67.0,-7.0,19.0,48.0,242.0,14.0,4.0,55.0,2015.0
Like I Can,dance pop,2014.0,100.0,63.0,66.0,-7.0,12.0,48.0,167.0,34.0,4.0,85.0,2015.0
You Don't Own Me (feat. G-Eazy),dance pop,2015.0,186.0,66.0,34.0,-6.0,6.0,29.0,199.0,17.0,10.0,60.0,2015.0
Same Old Love,dance pop,2015.0,98.0,59.0,67.0,-4.0,21.0,44.0,229.0,2.0,3.0,70.0,2015.0
Hands To Myself,dance pop,2015.0,111.0,50.0,81.0,-7.0,34.0,47.0,201.0,1.0,12.0,68.0,2015.0
Good For You,dance pop,2015.0,89.0,68.0,61.0,-6.0,9.0,21.0,222.0,18.0,5.0,62.0,2015.0
Easy Love,dance pop,2018.0,124.0,94.0,68.0,-4.0,12.0,65.0,230.0,18.0,6.0,70.0,2015.0
All My Friends (feat. Tinashe & Chance the Rapper),edm,2015.0,95.0,52.0,68.0,-6.0,11.0,18.0,230.0,12.0,14.0,77.0,2015.0
The Less I Know The Better,australian psych,2015.0,117.0,74.0,64.0,-4.0,17.0,79.0,216.0,1.0,3.0,88.0,2015.0
Blank Space,pop,2014.0,96.0,68.0,75.0,-5.0,13.0,58.0,232.0,9.0,6.0,79.0,2015.0
Wildest Dreams,pop,2014.0,140.0,67.0,55.0,-7.0,11.0,47.0,220.0,7.0,7.0,76.0,2015.0
Spirits,canadian indie,2016.0,81.0,66.0,56.0,-6.0,11.0,79.0,204.0,16.0,3.0,75.0,2015.0
The Hills,canadian contemporary r&b,2015.0,113.0,56.0,59.0,-7.0,14.0,14.0,242.0,7.0,5.0,88.0,2015.0
Can't Feel My Face,canadian contemporary r&b,2015.0,108.0,77.0,71.0,-6.0,11.0,58.0,214.0,11.0,4.0,83.0,2015.0
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",canadian contemporary r&b,2014.0,120.0,38.0,66.0,-6.0,10.0,43.0,252.0,39.0,3.0,81.0,2015.0
In The Night,canadian contemporary r&b,2015.0,168.0,68.0,51.0,-5.0,5.0,54.0,236.0,8.0,7.0,76.0,2015.0
Die A Happy Man,contemporary country,2015.0,166.0,39.0,60.0,-9.0,12.0,40.0,227.0,42.0,3.0,77.0,2015.0
Antidote,hip hop,2015.0,131.0,53.0,71.0,-5.0,12.0,13.0,263.0,1.0,3.0,78.0,2015.0
Slow Motion,dance pop,2015.0,95.0,41.0,73.0,-8.0,11.0,29.0,198.0,68.0,4.0,75.0,2015.0
YOUTH,australian pop,2015.0,92.0,74.0,63.0,-4.0,8.0,59.0,185.0,6.0,4.0,70.0,2015.0
Stressed Out,modern rock,2015.0,170.0,64.0,73.0,-6.0,6.0,65.0,202.0,5.0,14.0,88.0,2015.0
I Don't Mind (feat. Juicy J),atl hip hop,2014.0,113.0,46.0,87.0,-8.0,9.0,46.0,252.0,21.0,18.0,73.0,2015.0
Shut Up and Dance,dance pop,2014.0,128.0,87.0,58.0,-4.0,26.0,62.0,199.0,1.0,6.0,86.0,2015.0
See You Again (feat. Charlie Puth),dance pop,2015.0,80.0,48.0,69.0,-8.0,6.0,28.0,230.0,37.0,8.0,85.0,2015.0
Renegades,modern alternative rock,2015.0,90.0,86.0,53.0,-6.0,23.0,53.0,195.0,1.0,9.0,80.0,2015.0
Unsteady,modern alternative rock,2015.0,117.0,67.0,39.0,-6.0,12.0,20.0,194.0,18.0,6.0,78.0,2015.0
King,dance pop,2015.0,120.0,86.0,56.0,-4.0,38.0,43.0,215.0,6.0,4.0,66.0,2015.0
I Want You To Know,complextro,2015.0,130.0,85.0,58.0,-3.0,14.0,37.0,240.0,1.0,6.0,70.0,2015.0
When We Were Young,british soul,2015.0,144.0,60.0,38.0,-6.0,10.0,27.0,291.0,30.0,5.0,79.0,2016.0
Send My Love (To Your New Lover),british soul,2015.0,164.0,53.0,69.0,-8.0,17.0,57.0,223.0,4.0,9.0,77.0,2016.0
Hello,british soul,2015.0,79.0,43.0,58.0,-6.0,9.0,29.0,296.0,33.0,3.0,77.0,2016.0
Alarm,dance pop,2016.0,147.0,59.0,76.0,-5.0,18.0,81.0,206.0,8.0,23.0,62.0,2016.0
Into You,dance pop,2016.0,108.0,73.0,62.0,-6.0,14.0,37.0,244.0,2.0,11.0,73.0,2016.0
Side To Side,dance pop,2016.0,159.0,74.0,65.0,-6.0,24.0,61.0,226.0,5.0,23.0,72.0,2016.0
Dangerous Woman,dance pop,2016.0,134.0,60.0,66.0,-5.0,36.0,29.0,236.0,5.0,4.0,72.0,2016.0
Hurts So Good,alt z,2021.0,120.0,63.0,67.0,-5.0,9.0,42.0,209.0,8.0,5.0,77.0,2016.0
Good Grief,metropopolis,2016.0,120.0,76.0,73.0,-5.0,31.0,88.0,206.0,15.0,7.0,70.0,2016.0
Sorry,dance pop,2016.0,130.0,60.0,78.0,-7.0,25.0,36.0,233.0,0.0,5.0,72.0,2016.0
Exchange,kentucky hip hop,2015.0,160.0,43.0,53.0,-11.0,14.0,28.0,195.0,11.0,19.0,81.0,2016.0
Dancing On My Own,neo mellow,2018.0,113.0,17.0,68.0,-9.0,10.0,23.0,260.0,84.0,3.0,84.0,2016.0
This Is What You Came For (feat. Rihanna),dance pop,2016.0,124.0,93.0,63.0,-3.0,15.0,47.0,222.0,20.0,3.0,84.0,2016.0
My Way,dance pop,2016.0,120.0,91.0,82.0,-3.0,16.0,54.0,219.0,9.0,4.0,78.0,2016.0
We Don't Talk Anymore (feat. Selena Gomez),dance pop,2016.0,100.0,56.0,73.0,-8.0,18.0,35.0,218.0,62.0,13.0,73.0,2016.0
One Call Away,dance pop,2016.0,91.0,61.0,67.0,-5.0,12.0,47.0,194.0,40.0,3.0,70.0,2016.0
Dangerously,dance pop,2016.0,112.0,52.0,70.0,-8.0,20.0,23.0,199.0,36.0,4.0,58.0,2016.0
Sex,dance pop,2016.0,102.0,69.0,51.0,-6.0,14.0,21.0,228.0,0.0,17.0,66.0,2016.0
Back To Sleep,dance pop,2015.0,93.0,65.0,65.0,-5.0,9.0,72.0,201.0,4.0,24.0,65.0,2016.0
Tears (feat. Louisa Johnson),dance pop,2016.0,130.0,77.0,61.0,-4.0,16.0,30.0,226.0,4.0,4.0,65.0,2016.0
Hymn for the Weekend,permanent wave,2015.0,90.0,69.0,49.0,-6.0,33.0,41.0,258.0,21.0,4.0,86.0,2016.0
Adventure of a Lifetime,permanent wave,2015.0,112.0,92.0,64.0,-4.0,15.0,53.0,264.0,0.0,4.0,79.0,2016.0
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),big room,2016.0,110.0,92.0,37.0,-3.0,9.0,37.0,207.0,0.0,5.0,72.0,2016.0
"Sit Still, Look Pretty",alt z,2016.0,182.0,74.0,66.0,-4.0,11.0,54.0,202.0,14.0,27.0,76.0,2016.0
Hide Away,alt z,2016.0,95.0,80.0,89.0,-5.0,7.0,46.0,192.0,23.0,8.0,72.0,2016.0
Let Me Love You,dance pop,2016.0,100.0,72.0,65.0,-5.0,14.0,16.0,206.0,9.0,3.0,86.0,2016.0
Middle,dance pop,2016.0,105.0,70.0,58.0,-5.0,5.0,22.0,221.0,1.0,4.0,79.0,2016.0
Cake By The Ocean,dance pop,2016.0,119.0,75.0,77.0,-5.0,4.0,90.0,219.0,15.0,5.0,84.0,2016.0
Too Good,canadian hip hop,2016.0,118.0,65.0,79.0,-8.0,10.0,40.0,263.0,5.0,10.0,78.0,2016.0
Hotter Than Hell,dance pop,2017.0,110.0,87.0,53.0,-4.0,6.0,53.0,188.0,1.0,9.0,70.0,2016.0
DUELE EL CORAZON (feat. Wisin),dance pop,2016.0,91.0,91.0,72.0,-3.0,14.0,87.0,200.0,9.0,10.0,72.0,2016.0
Work from Home (feat. Ty Dolla $ign),dance pop,2016.0,105.0,59.0,80.0,-6.0,6.0,59.0,214.0,10.0,4.0,81.0,2016.0
All In My Head (Flex) (feat. Fetty Wap),dance pop,2016.0,95.0,79.0,69.0,-5.0,5.0,76.0,211.0,2.0,5.0,67.0,2016.0
Say It (feat. Tove Lo),australian dance,2016.0,75.0,53.0,60.0,-7.0,6.0,26.0,263.0,7.0,3.0,64.0,2016.0
Pink + White,alternative r&b,2016.0,160.0,55.0,54.0,-7.0,42.0,55.0,185.0,67.0,10.0,84.0,2016.0
Low Life (feat. The Weeknd),atl hip hop,2016.0,144.0,33.0,72.0,-8.0,15.0,10.0,314.0,34.0,7.0,78.0,2016.0
No Money,dance pop,2016.0,126.0,92.0,67.0,-4.0,24.0,80.0,189.0,3.0,4.0,72.0,2016.0
"i hate u, i love u (feat. olivia o'brien)",electropop,2016.0,93.0,28.0,49.0,-13.0,10.0,18.0,251.0,69.0,30.0,82.0,2016.0
"Me, Myself & I",indie pop rap,2015.0,112.0,67.0,76.0,-7.0,16.0,39.0,251.0,2.0,10.0,82.0,2016.0
Starving,dance pop,2016.0,100.0,62.0,73.0,-4.0,11.0,51.0,182.0,38.0,6.0,81.0,2016.0
Can I Be Him,pop,2016.0,108.0,54.0,70.0,-6.0,9.0,48.0,247.0,31.0,5.0,80.0,2016.0
When You Love Someone,neo mellow,2019.0,126.0,45.0,68.0,-6.0,5.0,35.0,217.0,26.0,3.0,79.0,2016.0
Love Me Now,neo soul,2016.0,123.0,77.0,42.0,-4.0,11.0,72.0,210.0,57.0,9.0,59.0,2016.0
Perfect Strangers,dance pop,2018.0,118.0,86.0,73.0,-4.0,21.0,70.0,197.0,39.0,5.0,80.0,2016.0
Fast Car,dance pop,2018.0,114.0,58.0,67.0,-7.0,31.0,55.0,212.0,47.0,6.0,77.0,2016.0
Love Yourself,canadian pop,2015.0,100.0,38.0,61.0,-10.0,28.0,52.0,234.0,84.0,44.0,87.0,2016.0
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",dance pop,2016.0,113.0,83.0,67.0,-6.0,10.0,70.0,238.0,1.0,7.0,77.0,2016.0
Gold,alt z,2020.0,113.0,41.0,60.0,-9.0,13.0,41.0,226.0,62.0,34.0,64.0,2016.0
Stay (feat. Maty Noyes),edm,2015.0,103.0,74.0,65.0,-8.0,17.0,38.0,239.0,4.0,4.0,65.0,2016.0
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",hip hop,2016.0,169.0,79.0,50.0,-4.0,65.0,74.0,243.0,26.0,32.0,80.0,2016.0
Shout Out to My Ex,dance pop,2016.0,126.0,75.0,77.0,-4.0,11.0,80.0,246.0,2.0,9.0,81.0,2016.0
7 Years,danish pop,2016.0,120.0,47.0,77.0,-6.0,39.0,34.0,237.0,29.0,5.0,83.0,2016.0
Alaska,indie pop,2019.0,104.0,39.0,85.0,-11.0,11.0,18.0,188.0,41.0,5.0,70.0,2016.0
Cold Water,dance pop,2016.0,93.0,80.0,61.0,-5.0,16.0,50.0,185.0,7.0,4.0,72.0,2016.0
